Company,address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
"Maria's Needle Craft, LLC",1811 W. 47th St.,47th/Ashland,2017-08-28T00:00:00,149539.5,100000,"storefront improvements including installation of new aluminum frames with double insulated glass windows and a commercial grade door, masonry repairs including replacement of all damaged bricks as needed and installation of new structural steel lintels, roofing repairs including a new rubberized roofing membrane on the front area of the roof associated with repairs to the front elevation, interior improvements including removal of existing flooring down to the joist system, replacement of joists and repairs as needed, installation of new sub-flooring with a vinyl tile finishing, new drywall, and painting"
"Not Too Shabby Cycles LLC dba Spoken, Chicago",1812 W. Montrose Ave,Ravenswood Industrial Corridor ,2017-08-29T00:00:00,29101,19611,"new framing for the restroom, plumbing work, electrical work,  drywall, storefront improvement with doors and windows, ADA compliant restroom, restroom fixtures."
"Brain Box Learning Academy, Inc.",2519 W. 79th St.,79th/Southwest Highway,2017-08-31T00:00:00,16425,12318.75,"Roof, HVAC, front windows, entry doors, facade lighting, tuck-pointing, bathroom installation. "
"Bronzeville Boutique, Inc.",4259 S. King Dr.,47th/King,2017-08-31T00:00:00,18000,13500,HVAC system improvements (remove existing units and replace a/c condenser and furnace; furnish and install thermostat; furnish and install associated duct work and electrical work)
"Chromium Industries, LLC ",4625-53 W. Chicago Ave. ,Northwest Industrial Corridor,2017-08-31T00:00:00,80050,30500.3,"masonry repairs to replace damaged masonry at south elevation and to rebuild the parapet walls at these elevations; masonry repairs to rebuild parapets and spalled brick courses over front/north elevation windows, to replace the support beam, and to tuck point the cracked portions of this elevation that do not require complete replacement; replace the steel beams abover overhead door; remove and replace the front elevation windows; remove windows, stucco, and wood on west (Kilpatrick Avenue) elevation; demolish and rebuild the eight (8) deteriorated masonry columns at west elevation; infill the window openings with brick or block"
Flowers Unlimited & Gifts Inc.,8621 S. Stony Island Ave.,Stony Island/Burnside,2017-08-31T00:00:00,45000,33750,"remove and replace the roofing system at 8621 S. Stony Island only (demolition; furnish and install new insulation, base sheet, modified bitumen membrane, flashings, gutters, and downspouts)"
Happy Kids Preschool & Daycare Center LLC,5815 W. Irving Park Rd. ,West Irving Park,2017-08-31T00:00:00,50984.68,38126.01,"complete tear-off of existing roofing, repairs to decking, new insulation  and flashing, install granulated bitumen roof roll using the torch-down method, application of protective aluminum coating over roof surface, new galvanized gutters and downspouts; masonry work to include cutting a 4’x4’ opening for a window, install new lintel and window sill, rebuild parapet wall and chimney, rebuild nine (9) courses of brick under the windows, replace bricks as needed at critical areas throughout the building, replace damaged copings and tuck-pointing; install two (2) 4’x16’ sign frames (business specific signage expenses not included); install new front entrance door, replace one (1) existing window, and install window at new opening"
"Fasttrak Auto Center, LTD",3263 W. Fullerton Ave.,Fullerton/Milwaukee,2017-09-01T00:00:00,48225,36168.75,"installation of new aluminum frames, glass doors and windows, and glass entryway vestibule; installation of three (3) new canopies (not including the canvas coverings - frames only) above entryways and new front overhead commercial door; installation of new gooseneck lights on upper façade with associated electrical work; and installation of new security cameras (not including DVR)"
Gus Berthold Electric Co ,1900 W Carroll Ave.,Kinzie Industrial Corridor,2017-09-06T00:00:00,154298.93,77149.47,"furnish and install an HVAC unit (new 7 ½ ton rooftop unit with associated duct work, venting, and wiring); demolition of existing concrete slab at dock leveler, raise and stabilize the concrete slab by drilling holes in the concrete and injecting high density foam, provide 5” concrete slab with wire mesh reinforcement and provide concrete wall for dock leveler, and install a 10’ hydraulic dock lever at loading dock; remove and replace two (2) torsion springs and six (6) ball-bearing door rollers on the overhead doors;  masonry work including tuck-pointing at all elevations, replace bricks as needed at south elevation, remove and replace sealants at window sills and limestone copings as needed; sprinkler system upgrades including replacement of sprinkler heads, install new brass upright sprinkler heads under mezzanine, provide a new six-head emergency spare sprinkler head cabinet with six (6) assorted sprinkler heads, replace riser water gauge, and replace cap to fire department connection on east side of building; and asbestos abatement"
"Bubbly Dynamics, L.L.C.",1400 W. 46th St.,47th/Ashland,2017-09-11T00:00:00,82914.94,41457.47,"tuck point brick at south elevation; renovations to ""break room / conference area"" at third floor (demolition; level and seal floor; repair masonry; construct knee wall; install structural steel under slabs; furnish and install electrical outlets, exit signs, and exhaust fan; rough plumbing to install water supply piping, and furnish and install drain-waste-vent piping and sink; furnish and install HVAC ductwork, diffusers, and variable air volume boxes; install translucent panels in conference room; install cabinets; furnish and install LED lighting; interior renovations to ""office / lab"" area at third floor (frame new walls and drywall; furnish and install electrical outlets, LED lighting, and exit signs; install ceiling for conference room; furnish and install HVAC ductwork, diffusers, and VAV boxes; install baseboards, window trim and sills; pour concrete for vent holes; cut an opening to lab and office areas and install new lintel; seal floors; install cabinets and salvaged sink; repair door)"
John Taylor Wallace,3641 S. Morgan St.,35th/Halsted,2017-09-12T00:00:00,131252.39,97644.23,"masonry repairs including tuckpointing of north and west elevations, reset of common brick at northeast corner, shoring of west elevation, demolition of commercial glass block windows and replacement with new steel lintels and window openings, repairs to brick work and limestone sills, patching and cleaning; installation of new storefront system (and removal of old glass block windows) including new frames, glass windows, and entry door; repairs to foundation of building including removal of damaged limestone and concrete, shoring work and installation of new concrete piers and walls, installation of an epoxy sealant, and a drainage relief system; rough electrical work including installation of new electrical box and service, new conduit piping, outlets, and lights; leveling of the first floor commercial area; installation of insulation and drywall around first floor commercial area; painting and finishing"
State Farm Insurance - Shane Parekh,3855 N. Cicero Ave.,Portage Park,2017-09-14T00:00:00,37500,28125,"interior renovations including replace broken plumbing fixtures in five bathrooms, repair drywall, painting, replace drop ceiling tiles, replace lighting fixtures, and emergency lighting, and prime and paint doors. "
T Salon & Gallery ,4705 N Damen,Western Avenue (North),2017-09-22T00:00:00,3700,2775,"repair and paint damaged tin ceiling, repair and paint water damaged ceiling in the bathroom; relocate the ceiling mounted heater and associated electrical line, gas line and exhaust duct, and install new thermostat; and install a new screen door at back entry. "
"John Weston Restaurant Group, LLC dba Weston's Coffee & Tap ",4872 N. Milwaukee Ave. ,Jefferson Park,2017-09-22T00:00:00,60468,44372.25,"Signage, ceiling beautification, general construction, built-in refrigeration unit, permanent seating, flooring, interior signage, lighting fixtures, bathrooms, commercial sink and drainage, plumbing."
Arthur Harris & Co,210 N. Aberdeen St.,Kinzie Industrial Corridor,2017-09-26T00:00:00,71641,35820.5,"a roofing replacement along the lower center of the south roof including replacement of the wood decking as needed, installation of new framing, insulation, modified roof membrane, flashings, and aluminum coating to finish, roofing repairs on three (3) other sections of the roof including replacement of any damaged decking, repairs to roof membranes, flashings and aluminum coatings, masonry repairs along the parapet wall including attaching wire lath over exposed brick wall and applying solid coating of cement, and the installation of a new furnace with connections to the existing ductwork, electrical and gas lines "
Laminet Cover Co.,4900 W. Bloomingdale Ave.,Galewood/Armitage,2017-09-26T00:00:00,63000,31500,"tear off and replacement of two roof sections including removal of existing metal cyclone and dead penetrations, repairs to decking as needed, new plywood sheathing, new insulation, new 60 mil white TPO membrane roofing system, new flashings, replacement of coping tiles with metal edges, and replacement of old drain system"
"Corporate Identification Solutions, Inc.",5563-67 N. Elston Ave.,Elston/Armstrong,2017-09-27T00:00:00,18889.34,9444.67,"the installation of two (2) new 10ft industrial-sized ceiling fans, and electrical work including the installation of a 400 AMP sub panel with associated conduit and wiring"
La Villa Restaurant Inc,3632-38 N Pulaski,Avondale,2017-09-29T00:00:00,42800,10200,"replace existing siding on mansard-style roof system on front elevation with new composite siding, new soffit, and trim boards; electrical work including new soffit lighting, lighting for signage, and six (6) new LED wall packs"
"Panic Brewing, LLC dba Alarmist Brewing","4055 W. Peterson Ave., rear suite",Peterson/Pulaski,2017-10-04T00:00:00,280736.47,69495.19,"completion of the following projects: demolish existing entry configuration and furnish and install all necessary steel, concrete, electrical, masonry, and access lift material and labor components for an ADA-compliant entry with access lift; build-out two (2) ADA compliant restrooms per plans (demolition; rough carpentry per plans to frame out renovated bathrooms; drywall; furnish and install ceramic tile flooring; furnish and install new doors; furnish and install HVAC duct work for bathroom only and exhaust fan per plans; electrical work for bathroom renovations per plans (rough electrical as needed; furnish and install new outlets; furnish and install right (8) new recessed can-style LED light fixtures; and electrical work associated with HVAC improvements); plumbing work per plans (rough plumbing to extend piping from basement through roof; furnish and install new lavatory sinks and toilet fixtures per plans); and painting in connection with the bathroom renovations); construct a three-hour-rated firewall between taproom and brewery areas, a new wall around the electrical panels and transformers, and a new fire exit door to the exterior courtyard area (demolition; masonry; rough carpentry for framing; drywall; furnish and install doors, storefront windows and frames, and roll-down ""coil"" style fire doors; and associated electrical work as needed and painting in connection with the finished construction); remove existing windows in former office area at north side of facility and furnish and replace with 90-minute fire-rated glass block windows; architectural and permit expenses. "
Maureen Sullivan,4619-23 N. Western Ave.,Western Avenue (North),2017-10-05T00:00:00,155740.72,100000,"interior and exterior renovations of the vacant commercial unit at 4619 N. Western Ave. including demolition; structural shoring including new concrete footings, slab and foundation; masonry repairs and tuckpointing along the façade including lintel replacement; rough carpentry and framing for new storefront system including an exterior door and window openings, and new interior walls for restaurant layout including drywall; flooring work including new subfloor membrane over concrete and installation of a new hardwood flooring system; rough and finish plumbing including new supply lines, a sump pump, drains, new water service line, natural gas lines, and fixtures; new HVAC system including a new furnace, ductwork, rooftop compressor, and exhaust/ventilation system including exhaust hood in kitchen; rough electrical including wiring, new outlets, and service panels; new tin ceiling; roofing repairs including new gutters and downspouts; painting and finishing; and architectural services.  
"
"A-Ok Automotive, Inc.",5805 S. Archer,Archer/Central,2017-10-05T00:00:00,136615,68307.5,"façade renovation including demolition of existing façade, construction of new brick walls, installation of new aluminum storefront frames, windows, and doors, removal and reinstallation of existing sign, and finishing work as needed; permanent security items (cameras and low-voltage wiring costs only); and architectural services.  "
City Newstand Inc,4018 N Cicero,Irving/Cicero,2017-10-05T00:00:00,58620,43965,installation of a new 3KW roof top mounted solar panel system along with associated electrical connections
Busy Beaver Button Company,3407-9 W. Armitage Ave.,Fullerton/Milwaukee,2017-10-06T00:00:00,191710,100000,"tuckpointing and cleaning of exterior masonry on north, west, and south elevations; removal of existing concrete slab and stairwell system, pouring of new concrete stairs, foundation slab, and installation of support piers below grade; installation of exterior accent lighting for façade signage, light fixtures at entryways, and wall mounted fixtures for rearm of building; HVAC work including furnish and install two (2) waterfurnace geothermal heat pumps with connections to existing duct system and new thermostats and install one (1) energy recovery ventilator with connections to existing duct system; and installation of a 15 kW solar panel array system with racking and all necessary connections to provide energy to commercial space (commercial only – no residential supply)"
Great Expectations Learning Academy ,1146 S. California ,Midwest,2017-10-06T00:00:00,58740,44055,"masonry repairs along the east and north elevations; installation of a new storefront system along the east elevation with new bronze aluminum storefront framing and insulated glass windows; installation of four (4) new fire-rated exist doors including steel framing; and installation of ten (10) new exterior gooseneck light fixtures, interior ceiling lights and ceiling fans"
"Uptown Research Institute, LLC",1021 W. Lawrence Ave,Lawrence/Broadway,2017-10-10T00:00:00,49885,37413.75,"interior renovations to five (5) restrooms including the installation of new valves, copper lines and plumbing fixtures; electrical upgrades including new wiring for outlets, switches, exhaust fans, and light fixtures; installation of new tile flooring; repairs to framing as needed to install new drywall; and painting"
"Chicago Metal Supply & Fabrication, Inc.",4900-40 W. Grand Ave.,Northwest Industrial Corridor,2017-10-12T00:00:00,322530,144100.52,furnish and install a new main entry door; remove the existing skylight glass and replace with new glass; remove the existing window glass at the first floor east elevation and replace with a new window; furnish and install new storefront frames and glass at second floor south elevation; remove east elevation windows and replace; furnish and install a new I-beam and masonry blocks above loading dock door area; remove and replace the overhead loading dock door; tuck point the adjacent masonry as needed in connection with door and I-beam replacement
Barkaat Foods LLC,3810 S Halsted,35th/Halsted,2017-10-13T00:00:00,310000,150000,"removal of the existing ammonia refrigeration system and the replacement with a new Freon system including six (6) compressors, eleven (11) evaporator units, evaporative coils, copper piping, insulation, and associated 
electrical work including new conduits, wiring, transformer and switches.
"
"Rann Professional Building, LLC ",3600 W. Roosevelt Rd.,Midwest,2017-10-23T00:00:00,54060,40320,"tear-off of existing roofing, install insulation and mechanically fastened 60 MIL TPO rubber roof membrane, remove steel capping on parapet walls, insulate and reinstall steel capping, fully adhere all flashings, parapet walls, and roof penetrations as needed, and install new gutter system; install permanent security system items (security cameras, wiring, exterior lighting, a buzzer system at front entry door and interior rolling shutters); replace two (2) steel doors with new frames and hardware, replace front entry glass door; carpentry work and new drywall in three offices; electrical work including replacement of four (4) light fixtures and wiring; plumbing work for restrooms and kitchen including new fixtures and pipes, flush the interior sewer system and replace old drains; and HVAC work including a new roof top unit. "
B-Clean Laundromat Inc,5419 S. Halsted St.,47th/Halsted,2017-10-26T00:00:00,33333.33,25000,furnish and install new HVAC rooftop units
"Midco International, Inc. ",4140 W. Victoria St. ,Peterson/Pulaski,2017-10-26T00:00:00,69920,34960,"replacement of seventy-six (76) exterior windows with high grade aluminum framed, hermetically sealed and thermal double glass, 36” x 62” hopper style windows"
Best Hand Superior Hotel Laundry Service ,3305 W. Harrison St.,Midwest,2017-10-27T00:00:00,160582.5,80291.25,"roofing work to the east section including tear off of existing roof down to decking, repairs to existing deck as needed, new insulation, replace drains as needed, installation of modified bitumen membrane and flashing system, roofing work to the west section to include replacement of drains as needed, installation of modified bitumen membrane and flashing system; break concrete floor 5x20’ area, excavate to 6-8’ depth, replace broken fittings and clean out floor drain and roof drain, refill the area with gravel and sand, prep for new concrete using rebar and mesh, and pour new concrete; raising and stabilization of the concrete slab by drilling holes in the concrete and injecting high density foam to raise the slab and/or stabilize by filling in voids from the broken roof drain. "
"Sirron, Inc. dba Dan's Bakery & Eatery ",2521-25 W. 79th Street ,79th/Southwest Highway,2017-10-27T00:00:00,40600,29208.26,"masonry work including the construction of new concrete block walls to connect the existing building to the garage for storage and office space, concrete slab, electrical upgrade to 400 amp service, new framing, insulation, drywall, and ceramic tile flooring. "
Dental Care Center,3301 - 3309 N. Central Ave.,Belmont/Central,2017-10-30T00:00:00,432488.25,100000,"rehabilitation of the masonry façade with re-bricking of south and west elevations, replacement of steel lintels over windows, replacement of storefront system including glass windows, doors, and aluminum framing; tuck-pointing of east and north walls, application of stucco on north elevation; installation of new torched down rubber roof; and interior buildout for expansion of existing dental office into adjacent space including HVAC work, installation of new electrical system including a new service panel and subpanel, general construction work including new framing, insulation, drywall, flooring, ceilings, electrical and plumbing fixtures, painting and finishing work"
"4619 Broadway, LLC / Uptown United",4619 N. Broadway,Wilson Yard,2017-10-31T00:00:00,74415,55811.25,"remove existing roof flashings, limestone copings, and parapet bricks at west/facade elevation and two clay copings on the corners of the north and south parapets down to roof line; remove deteriorated lintels above third-floor window and replace if deteriorated beyond repair; install new flashings and weep ropes at facade; grind and tuck-point masonry at west/facade elevation as needed; rebuild upper parapet wall at west/facade elevation to match existing with salvaged existing face brick or with new face bricks that match existing and with new common bricks on middle and roof-side courses; install new flashings at parapet"
Blu Salon & Cut Barbershop,1140 E. 87th St.,Stony Island/Burnside,2017-11-01T00:00:00,78000,58500,"tear-off roof down to existing decking, repair decking as needed, repair roof for proper drainage, install new insulation, cant strip, roof vents, and base underlayment, and finish with new rubber membrane system, new flashings, an aluminum coating, and reinstall coping tiles"
Voice of the City,3429-33 W. Diversey Ave.,Fullerton/Milwaukee,2017-11-01T00:00:00,69716.23,50000,"renovation of entryways including installation of new exterior doors, and remodeling of the stairwell including installation of an intercom system and new lighting; installation of a new 400 amp 3-phase electrical service; and structural elements of exterior signage and electrical supply for up lighting on the building’s upper facade"
"Buckeye Construction Co., Inc. ",7827 S. Claremont Ave. ,Greater Southwest Industrial Corridor (East),2017-11-01T00:00:00,17134,12850.5,"roofing replacement for lower east roof including roofing system down to the wood decking, repairs to decking as needed, install new insulation, and commercial grade modified roofing and flashing system; and masonry work including tuckpoint and re-build parapet wall as needed
"
"Bluebird Wellness, LLC ",3817 N. Pulaski Rd.,Avondale,2017-11-01T00:00:00,27845,17750,"insulation, drywall, flooring for new layout with trim and baseboards, and rough electrical work"
L. Robinson & Associates,5048-50 S. Indiana Ave.,47th/King,2017-11-06T00:00:00,84875.33,50000,"masonry work to create interior opening between 5048 and 5050 S. Indiana Ave., new steel lintels for structural support, and a new concrete slab at front entry; HVAC work including replacement of furnace and  AC unit; installation of a new exterior fire rated pedestrian door and removal of an exterior rolling steel shudder; plumbing work including new fixtures for restroom and hot water heater; replace lighting with new T12 LED fixtures; flooring work in 5050 S. Indiana to connect and match with 5048 S. Indiana including installation, sanding, staining, and sealing with polyurethane of 750 SF of maple flooring; new drywall as needed, painting, and finishing work; soft costs including structural engineering and permit fees; and the balance of eligible property acquisition costs"
"Rudy's Cyclery, Inc.",5711 W. Irving Park Rd.,West Irving Park,2017-11-06T00:00:00,18164.21,13623.16,"tear-off of existing roof, installation of wood decking as needed, insulation, installation of TPO membrane roofing system, new flashings, and pitch pans; "
"Lake Street Landscape Supply, LLC",1800-58 W. Lake St.,Kinzie Industrial Corridor,2017-11-14T00:00:00,29845,14922.5,"remove and replace approx. 50 deteriorated bricks at east elevation parapet; grind out area from roof decking to copings and remove and replace copings, flashings, and weep ropes; remove copings at smaller building to east of main building and install new flashings; spot tuck-point interior roof-facing elevations; rebuild parapet walls separating east and west buildings with new flashings and weep ropes; furnish and install new aluminum copings at parapet walls; furnish and install new roofing insulation, termination bar, and new bitumen roofing membrane"
Midpack Corporation,5514 N. Kedzie Ave.,Lawrence/Kedzie,2017-11-15T00:00:00,66315,33157.5,"completion of masonry work to the façade: demolition; repair/replace as needed the I-beam lintels; install new flashings and weep ropes; furnish and install new façade brick); masonry work to rebuild three (3) chimneys; repair/replace parapet walls and copings as necessary in connection with facade improvements; furnish and install new storefront windows; remove and replace steel doors; furnish and install a new energy-efficient HVAC system for the office space including RTU, duct work, and associated ventilation"
"Push Indoor Cycling, Inc.",6315 S. Central Ave.,Archer/Central,2017-11-16T00:00:00,19475,14454,"façade renovation including demolition of existing façade, construction of a new knee wall on the exterior and interior of the building, installation of limestone sills on the top of the newly installed brick knee wall, installation of new aluminum storefront frames, windows, and door, finishing work as needed, architectural services, and permit"
Jane Addams Development Corporation,4432 N. Ravenswood Ave.,Ravenswood Industrial Corridor ,2017-11-28T00:00:00,50600,25300,"masonry work including parapet wall, flashing, new drip edge and tuck-pointing, "
"Production Craft, Inc. ",1937 W. Walnut St.,Kinzie Industrial Corridor,2017-11-28T00:00:00,66666.66,50000,demolition; partial completion of approved masonry work (create new openings and partial infill of  openings at front elevation and one opening at side elevation at existing building); partial completion of approved plumbing improvements (rough plumbing)
"Brain Box Learning Academy, Inc.",2519 W. 79th St.,79th/Southwest Highway,2017-11-29T00:00:00,13200,9900,"remove and replace storefront system with new bronze aluminum storefront framing and insulated glass windows, two (2) new doors with electric strike and push/pull pedals. "
"Economy Auto, L.L.C. - 3415 W. Cermak Chicago",3415 W. Cermak Rd.,Ogden/Pulaski,2017-11-30T00:00:00,99120,74340,"partial completion of the approved work scope: interior demolition; build-out an interior office space (furnish and install CMU walls, demising walls, picture windows and framing, interior doors, electrical outlets and switches, can lighting, drywall); renovations to the restroom space (demolition, frame out new walls, furnish and install new doors, underground rough cast iron plumbing supply and copper waste and vent lines, toilets, counters, drains, hot water tank, water fountain, and mop sink); furnish and install a new HVAC system (split furnace and a/c condenser); install exhaust in bathroom and office areas; furnish and install concrete and tile flooring; repairs to ceiling joists; roof repairs in connection with HVAC work, and furnish and install new LED shop lights"
"The Foxhole Chicago, LLC",2444 W. Montrose Ave.,Western Avenue (North),2017-12-01T00:00:00,76019.13,56655.93,"demolish existing ground-floor restroom and construct a new restroom (framing, drywall, tile floor, rough plumbing, fixture installation costs); interior tuck pointing at east wall; demolish the existing metal paneling at storefront and frame and insulate to close exposed area; tuck point the facade; rough electrical to install three exterior accent lights; remove and replace existing storefront glass and trim; roofing and parapet repairs; install new drywall at ceiling; install new wood flooring over subfloor; concrete reinforcement of basement footers; remove and replace the wood posts in the basement; repair foundation wall crack; demolish existing kitchen and run new rough plumbing and install counters and millwork for a new kitchen; materials expenses in connection with the renovations: breakroom/kitchen sink, bathroom sink, wall cladding, toilet fixture, and exterior accent lights; permit expenses"
State Farm Insurance - Shane Parekh,3855 N. Cicero Ave.,Portage Park,2017-12-06T00:00:00,45940,34455,"interior renovations including replace broken plumbing fixtures in five bathrooms, repair drywall, painting, replace drop ceiling tiles, replace lighting fixtures, and emergency lighting, and prime and paint doors. "
"Stitch Me, LLC",329 W. 18th St. #308,Pilsen Industrial Corridor,2017-12-07T00:00:00,23013.13,15675,"furnish and install an HVAC system (new 3-ton unit with associated duct work, venting, and wiring); build-out of a restroom (build a partition wall, furnish and install toilet, pedestal sink, ceramic tile, light fixture, exhaust fan, and door); install new baseboards and casings; and painting of new restroom"
Kinzie Industrial Development Corp. (KIDC) ,2021 W. Fulton St. ,Kinzie Industrial Corridor,2017-12-08T00:00:00,326716.33,150000,"convert the 8” underground water piping to overhead sprinkler system including installation of 550’ of 8” black steel piping emanating from diesel pump and connecting to sprinkler risers throughout building and all associated work to ensure proper connectivity and functionality; furnish and install new ventilation systems for restrooms including ductwork, louvers, dampers, and associated electrical connections; HVAC work including installation of a new rooftop condensing unit, a make-up air unit, new ductwork, gas piping, and refrigerant piping; and installation of a 200 Amp 3 Phase 240 volt disconnect switch for the electrical system; replacement of five (5) sliding fire doors throughout the facility; and remove and replace approximately 600 sq ft of brick on south elevation with matching brick"
"Ensemble Media, Inc. ",4704 N. Kenmore Ave. Unit C ,Wilson Yard,2017-12-19T00:00:00,34125,25000,"carpentry to frame out and drywall new storage area and water pump/mechanicals room in basement and to frame out new conference room and extend existing non-bearing half-walls to ceiling at ground floor; furnish and install an interior picture window for interior conference room and new doors for basement; core out concrete and furnish and install new HVAC duct work from ground floor to basement; furnish and install new carpet, laminate flooring, and painting"
Austin Childcare Providers' Network,5714 W. Division St.,Austin Commercial,2017-12-26T00:00:00,72873.84,50000,"complete gut rehabilitation for new office space including install new electrical system with wiring, and connections; plumbing work for two (2) new restrooms and kitchen area; install 8 ton HVAC unit with associated ductwork; install storefront glass windows at front entry; masonry work including exterior tuckpointing and repairs; complete roof tear off with new insulation, modified bitumen membrane and replace flashings along parapet wall; interior finishing work including drywall and flooring as needed, new ceiling grid and tiles, painting, permit and fees"
"4311 S. Halsted, LLC",4311 S. Halsted St.,47th/Halsted,2017-12-27T00:00:00,116467.5,87350.63,"façade improvements including removal of the siding, bricks, and storefront system and replacement with new bricks with stone caps, and a new storefront system including new windows and doors (the residential windows were not included in the cost of this project)."
"I Love My Bed, LLC",4040 W. Ogden Ave. ,Ogden/Pulaski,2017-12-28T00:00:00,35000,25375,"masonry work along the north elevation including removal of damaged bricks and replacement with new bricks to match existing, and creating new window openings with lintels. "
"Bronzeville Boutique, Inc.",4259 S. King Dr.,47th/King,2018-01-04T00:00:00,53000,36500,"remove and replace the existing wood-framed windows with three aluminum frame window systems and the exterior doors; furnish and install interior-mounted security shutters; remove and replace the existing toilet, vanity counter, and ceramic tile flooring in the restroom  and replace with a new toilet, counter, and flooring; remove nine existing fluorescent fixtures and replace with LED fixtures; furnish and install LED track lighting for window display areas; install new electrical outlets in floor under the display counter; remove existing carpet, replace subflooring as needed, and furnish and install approx. 500 square feet of hardwood flooring; carpentry to frame out a changing room and platform; painting and drywall; permit expense"
The Whole Tooth Ltd,1801-3 W. Irving Park Rd.,Western Avenue (South),2018-01-05T00:00:00,80700,50000,"interior build-out of approx. 625 square feet at 1801-3 W. Irving Park for expanded dental clinic functionality: demolition; frame out the exterior walls; install insulation for enclosed interior walls; drywall; furnish and install four interior doors; remove existing bathroom plumbing; furnish and install finish plumbing and final connections for mechanicals room; install four sinks and faucets (labor only, materials not included); furnish and install a new 2.5-ton air conditioning condenser unit, diffusers, and associated duct work; furnish and install approx. 22 electrical outlets; furnish and install can-style lighting in treatment room, office, storage, and corridor areas; install owner-furnished track lighting in treatment area (labor only, materials not included); furnish and install fluorescent light fixtures in mechanical and storage area; furnish and install light switches and exit signs; furnish and install commercial carpet in corridor area, vinyl tile in treatment areas; and ceramic tile flooring in office and storage areas; painting; architectural expenses"
"Makowski Real Sausage, Inc.",2710 S. Poplar Ave.,Pilsen Industrial Corridor,2018-01-08T00:00:00,316562.5,150000,"supported floor structural renovation: demolition, shoring, masonry walls, framing, steel reinforcement, concrete, and piping"
Rudy's Cyclery Inc ,5711 W. Irving Park Rd.,West Irving Park,2018-01-08T00:00:00,52209.43,39157.07,installation of a photovoltaic solar electrical system
"Doggonerite Dog Grooming Academy/Salon, Inc.",3537 - 41 W. Columbus Ave.,79th/Southwest Highway,2018-01-09T00:00:00,14527.53,10895.65,provide and install two (2) new HVAC units; provide and install two (2) exhaust fans in shampoo room; electrical work including install new circuits and outlets for shampoo and grooming areas; provide and install a new set of gutters for the building; and remove and replace approximately 520 SF of concrete in kennel area
New Age Services Corporation,1330 S. Kostner Ave.,Roosevelt/Cicero,2018-02-14T00:00:00,76002.5,57001.88,roofing repairs to install a new modified bitumen membrane and silver coating over the existing roof; remove the existing HVAC RTUs and replace with two new RTUs and associated duct work
LP's Wash-O-Matic ,8923 S. Cottage Grove Ave.,87th/Cottage Grove,2018-02-16T00:00:00,14000,10500,"installation of concrete slab for proper support, installation of new floor joists and floor tiles;"
"Restaurant Las Esperanzas, Inc.",1758 W. 47th St.,47th/Ashland,2018-01-11T00:00:00,146959.65,100000,"concrete and foundation work including new footing at storefront to support new masonry, two (2) new steel footings in basement and new 4” concrete slab; replacement of storefront system with new aluminum frame, tempered glass windows and doors; rough carpentry and framing work including creation of two (2) new window openings on west elevation, demolish existing and build out two (2) ADA-complaint restrooms, install new I-Beam, reinforce existing floor joists in kitchen area, extension of kitchen wall, new drywall and insulation, repairs to flooring and subflooring as needed, build new mop sink, install new drop ceiling tiles, new doors and hardware, trim work, painting and finishing; HVAC improvements including new furnace, new kitchen exhaust hood, new fresh air intakes; plumbing improvements including underground vent, waste, and water 4” copper and cast iron piping, new hot water lines and connections, plumbing fixtures; all new electrical conduit and wiring to be installed behind walls and ceilings, new light fixtures; permit and architectural fees"
Turn Back the Hands of Time Antiques,5940-42 W. Chicago Ave. ,Austin Commercial,2018-01-11T00:00:00,78535.73,58901.8,"masonry façade renovations including removal of bricks over storefront, at knee wall, and removal of lintels; installation of limestone panels, limestone sills, new lintels, and new brick; parapet wall repairs and tuck-pointing work and sandblasting of interior brick; installation of new storefront system with insulated glass windows and doors and bronze thermal metal framing; installation of 92 sq. yards of underlayment and carpeting; flooring and ceiling tile materials"
"John Weston Restaurant Group, LLC dba Weston's Coffee & Tap ",4872 N. Milwaukee Ave. ,Jefferson Park,2018-01-11T00:00:00,83627,55035.81,"ceilings, tile and laminate flooring, FRP Panels, and install new doors; renovate existing restroom and build-out of a new restroom (framing, drywall, rough and finish plumbing, toilet, sink, vanity, lighting, outlets, painting, exhaust fan, flooring, and new door); electrical including furnish and install lighting fixtures, and low voltage wiring; plumbing including finish plumbing for all sinks (mop sink, 3-compartment sink, and hand sinks) hot water heater, booster pump, grease trap, and trimmings; HVAC work including new ducts, exhaust fans, fresh air intake, grills, registers, new duct heater, and modifications on existing air supply as needed; furnish and install a walk-in cooler and new concrete slab for proper support of walk-in cooler in basement; install underlayment and tile flooring, painting and trim throughout, and install new awning (structural elements only)"
